sample	tissue	path
m140226_004703	brain	m140226_004703_42141_c100631202390000001823105309121431_s1_p0.2.bax.h5
m140226_004703	brain	m140226_004703_42141_c100631202390000001823105309121431_s1_p0.3.bax.h5
m140226_040616	brain	m140226_040616_42141_c100631202390000001823105309121432_s1_p0.1.bax.h5
m140226_040616	brain	m140226_040616_42141_c100631202390000001823105309121432_s1_p0.2.bax.h5
m140226_040616	brain	m140226_040616_42141_c100631202390000001823105309121432_s1_p0.3.bax.h5
m140226_072529	brain	m140226_072529_42141_c100631202390000001823105309121433_s1_p0.1.bax.h5
m140226_072529	brain	m140226_072529_42141_c100631202390000001823105309121433_s1_p0.2.bax.h5
m140226_072529	brain	m140226_072529_42141_c100631202390000001823105309121433_s1_p0.3.bax.h5
m140226_104442	brain	m140226_104442_42141_c100631202390000001823105309121435_s1_p0.1.bax.h5
m140226_104442	brain	m140226_104442_42141_c100631202390000001823105309121435_s1_p0.2.bax.h5
m140226_104442	brain	m140226_104442_42141_c100631202390000001823105309121435_s1_p0.3.bax.h5
m140226_140355	brain	m140226_140355_42141_c100631202390000001823105309121436_s1_p0.1.bax.h5
m140226_140355	brain	m140226_140355_42141_c100631202390000001823105309121436_s1_p0.2.bax.h5
m140226_140355	brain	m140226_140355_42141_c100631202390000001823105309121436_s1_p0.3.bax.h5
m140308_033548	brain	m140308_033548_sherri_c100641472550000001823126010151460_s1_p0.1.bax.h5
m140308_033548	brain	m140308_033548_sherri_c100641472550000001823126010151460_s1_p0.2.bax.h5
m140308_033548	brain	m140308_033548_sherri_c100641472550000001823126010151460_s1_p0.3.bax.h5
m140308_070501	brain	m140308_070501_sherri_c100641472550000001823126010151461_s1_p0.1.bax.h5
m140308_070501	brain	m140308_070501_sherri_c100641472550000001823126010151461_s1_p0.2.bax.h5
m140308_070501	brain	m140308_070501_sherri_c100641472550000001823126010151461_s1_p0.3.bax.h5
m140308_104027	brain	m140308_104027_sherri_c100641472550000001823126010151462_s1_p0.1.bax.h5
m140308_104027	brain	m140308_104027_sherri_c100641472550000001823126010151462_s1_p0.2.bax.h5
m140308_104027	brain	m140308_104027_sherri_c100641472550000001823126010151462_s1_p0.3.bax.h5
m140308_141259	brain	m140308_141259_sherri_c100641472550000001823126010151463_s1_p0.1.bax.h5
m140308_141259	brain	m140308_141259_sherri_c100641472550000001823126010151463_s1_p0.2.bax.h5
m140308_141259	brain	m140308_141259_sherri_c100641472550000001823126010151463_s1_p0.3.bax.h5
m140308_174717	brain	m140308_174717_sherri_c100641472550000001823126010151464_s1_p0.1.bax.h5
m140308_174717	brain	m140308_174717_sherri_c100641472550000001823126010151464_s1_p0.2.bax.h5
m140308_174717	brain	m140308_174717_sherri_c100641472550000001823126010151464_s1_p0.3.bax.h5
m140308_212337	brain	m140308_212337_sherri_c100641472550000001823126010151465_s1_p0.1.bax.h5
m140308_212337	brain	m140308_212337_sherri_c100641472550000001823126010151465_s1_p0.2.bax.h5
m140308_212337	brain	m140308_212337_sherri_c100641472550000001823126010151465_s1_p0.3.bax.h5
m140309_005951	brain	m140309_005951_sherri_c100641472550000001823126010151466_s1_p0.1.bax.h5
m140309_005951	brain	m140309_005951_sherri_c100641472550000001823126010151466_s1_p0.2.bax.h5
m140309_005951	brain	m140309_005951_sherri_c100641472550000001823126010151466_s1_p0.3.bax.h5
m140309_043201	brain	m140309_043201_sherri_c100641472550000001823126010151467_s1_p0.1.bax.h5
m140309_043201	brain	m140309_043201_sherri_c100641472550000001823126010151467_s1_p0.2.bax.h5
m140309_043201	brain	m140309_043201_sherri_c100641472550000001823126010151467_s1_p0.3.bax.h5
m140517_022630	brain	m140517_022630_42141_c110042412550000001823111106241444_s1_p0.1.bax.h5
m140517_022630	brain	m140517_022630_42141_c110042412550000001823111106241444_s1_p0.2.bax.h5
m140517_022630	brain	m140517_022630_42141_c110042412550000001823111106241444_s1_p0.3.bax.h5
m140517_064855	brain	m140517_064855_42141_c110042412550000001823111106241445_s1_p0.1.bax.h5
m140517_064855	brain	m140517_064855_42141_c110042412550000001823111106241445_s1_p0.2.bax.h5
m140517_064855	brain	m140517_064855_42141_c110042412550000001823111106241445_s1_p0.3.bax.h5
m140518_045655	brain	m140518_045655_42141_c110034182550000001823102605301486_s1_p0.1.bax.h5
m140518_045655	brain	m140518_045655_42141_c110034182550000001823102605301486_s1_p0.3.bax.h5
m140518_092242	brain	m140518_092242_42141_c110034182550000001823102605301487_s1_p0.1.bax.h5
m140518_092242	brain	m140518_092242_42141_c110034182550000001823102605301487_s1_p0.2.bax.h5
m140518_092242	brain	m140518_092242_42141_c110034182550000001823102605301487_s1_p0.3.bax.h5
m140121_032645	heart	m140121_032645_42141_c100626750070000001823119808061460_s1_p0.1.bax.h5
m140121_032645	heart	m140121_032645_42141_c100626750070000001823119808061460_s1_p0.2.bax.h5
m140121_032645	heart	m140121_032645_42141_c100626750070000001823119808061460_s1_p0.3.bax.h5
m140121_064408	heart	m140121_064408_42141_c100626750070000001823119808061461_s1_p0.1.bax.h5
m140121_064408	heart	m140121_064408_42141_c100626750070000001823119808061461_s1_p0.2.bax.h5
m140121_064408	heart	m140121_064408_42141_c100626750070000001823119808061461_s1_p0.3.bax.h5
m140121_100730	heart	m140121_100730_42141_c100626750070000001823119808061462_s1_p0.1.bax.h5
m140121_100730	heart	m140121_100730_42141_c100626750070000001823119808061462_s1_p0.2.bax.h5
m140121_100730	heart	m140121_100730_42141_c100626750070000001823119808061462_s1_p0.3.bax.h5
m140121_132657	heart	m140121_132657_42141_c100626060070000001823118408061490_s1_p0.1.bax.h5
m140121_132657	heart	m140121_132657_42141_c100626060070000001823118408061490_s1_p0.2.bax.h5
m140121_132657	heart	m140121_132657_42141_c100626060070000001823118408061490_s1_p0.3.bax.h5
m140121_164721	heart	m140121_164721_42141_c100626060070000001823118408061491_s1_p0.1.bax.h5
m140121_164721	heart	m140121_164721_42141_c100626060070000001823118408061491_s1_p0.2.bax.h5
m140121_164721	heart	m140121_164721_42141_c100626060070000001823118408061491_s1_p0.3.bax.h5
m140121_200633	heart	m140121_200633_42141_c100626060070000001823118408061492_s1_p0.1.bax.h5
m140121_200633	heart	m140121_200633_42141_c100626060070000001823118408061492_s1_p0.2.bax.h5
m140121_200633	heart	m140121_200633_42141_c100626060070000001823118408061492_s1_p0.3.bax.h5
m140131_031135	heart	m140131_031135_42141_c110038482550000001823107706241430_s1_p0.1.bax.h5
m140131_031135	heart	m140131_031135_42141_c110038482550000001823107706241430_s1_p0.2.bax.h5
m140131_031135	heart	m140131_031135_42141_c110038482550000001823107706241430_s1_p0.3.bax.h5
m140131_063020	heart	m140131_063020_42141_c110038482550000001823107706241431_s1_p0.1.bax.h5
m140131_063020	heart	m140131_063020_42141_c110038482550000001823107706241431_s1_p0.2.bax.h5
m140131_063020	heart	m140131_063020_42141_c110038482550000001823107706241431_s1_p0.3.bax.h5
m140131_095235	heart	m140131_095235_42141_c110038482550000001823107706241432_s1_p0.1.bax.h5
m140131_095235	heart	m140131_095235_42141_c110038482550000001823107706241432_s1_p0.2.bax.h5
m140131_095235	heart	m140131_095235_42141_c110038482550000001823107706241432_s1_p0.3.bax.h5
m140131_131341	heart	m140131_131341_42141_c110038482550000001823107706241433_s1_p0.1.bax.h5
m140131_131341	heart	m140131_131341_42141_c110038482550000001823107706241433_s1_p0.2.bax.h5
m140131_131341	heart	m140131_131341_42141_c110038482550000001823107706241433_s1_p0.3.bax.h5
m140220_222848	heart	m140220_222848_42142_c100634462490000001823117809121470_s1_p0.1.bax.h5
m140220_222848	heart	m140220_222848_42142_c100634462490000001823117809121470_s1_p0.2.bax.h5
m140220_222848	heart	m140220_222848_42142_c100634462490000001823117809121470_s1_p0.3.bax.h5
m140221_003203	heart	m140221_003203_42141_c100634362510000001823117809121430_s1_p0.1.bax.h5
m140221_003203	heart	m140221_003203_42141_c100634362510000001823117809121430_s1_p0.2.bax.h5
m140221_003203	heart	m140221_003203_42141_c100634362510000001823117809121430_s1_p0.3.bax.h5
m140221_015407	heart	m140221_015407_42142_c100634462490000001823117809121473_s1_p0.1.bax.h5
m140221_015407	heart	m140221_015407_42142_c100634462490000001823117809121473_s1_p0.2.bax.h5
m140221_015407	heart	m140221_015407_42142_c100634462490000001823117809121473_s1_p0.3.bax.h5
m140221_035026	heart	m140221_035026_42141_c100634362510000001823117809121431_s1_p0.1.bax.h5
m140221_035026	heart	m140221_035026_42141_c100634362510000001823117809121431_s1_p0.2.bax.h5
m140221_035026	heart	m140221_035026_42141_c100634362510000001823117809121431_s1_p0.3.bax.h5
m140221_052041	heart	m140221_052041_42142_c100634462490000001823117809121474_s1_p0.1.bax.h5
m140221_052041	heart	m140221_052041_42142_c100634462490000001823117809121474_s1_p0.2.bax.h5
m140221_052041	heart	m140221_052041_42142_c100634462490000001823117809121474_s1_p0.3.bax.h5
m140221_070939	heart	m140221_070939_42141_c100634362510000001823117809121433_s1_p0.1.bax.h5
m140221_070939	heart	m140221_070939_42141_c100634362510000001823117809121433_s1_p0.2.bax.h5
m140221_070939	heart	m140221_070939_42141_c100634362510000001823117809121433_s1_p0.3.bax.h5
m140221_084430	heart	m140221_084430_42142_c100634462490000001823117809121475_s1_p0.1.bax.h5
m140221_084430	heart	m140221_084430_42142_c100634462490000001823117809121475_s1_p0.2.bax.h5
m140221_084430	heart	m140221_084430_42142_c100634462490000001823117809121475_s1_p0.3.bax.h5
m140221_102852	heart	m140221_102852_42141_c100634362510000001823117809121434_s1_p0.1.bax.h5
m140221_102852	heart	m140221_102852_42141_c100634362510000001823117809121434_s1_p0.2.bax.h5
m140221_102852	heart	m140221_102852_42141_c100634362510000001823117809121434_s1_p0.3.bax.h5
m140221_120945	heart	m140221_120945_42142_c100634462490000001823117809121476_s1_p0.1.bax.h5
m140221_120945	heart	m140221_120945_42142_c100634462490000001823117809121476_s1_p0.2.bax.h5
m140221_120945	heart	m140221_120945_42142_c100634462490000001823117809121476_s1_p0.3.bax.h5
m140221_134805	heart	m140221_134805_42141_c100634362510000001823117809121435_s1_p0.1.bax.h5
m140221_134805	heart	m140221_134805_42141_c100634362510000001823117809121435_s1_p0.2.bax.h5
m140221_134805	heart	m140221_134805_42141_c100634362510000001823117809121435_s1_p0.3.bax.h5
m140221_153518	heart	m140221_153518_42142_c100634462490000001823117809121477_s1_p0.1.bax.h5
m140221_153518	heart	m140221_153518_42142_c100634462490000001823117809121477_s1_p0.2.bax.h5
m140221_153518	heart	m140221_153518_42142_c100634462490000001823117809121477_s1_p0.3.bax.h5
m140221_170718	heart	m140221_170718_42141_c100634362510000001823117809121436_s1_p0.1.bax.h5
m140221_170718	heart	m140221_170718_42141_c100634362510000001823117809121436_s1_p0.2.bax.h5
m140221_170718	heart	m140221_170718_42141_c100634362510000001823117809121436_s1_p0.3.bax.h5
m140309_102439	heart	m140309_102439_sherri_c100641502550000001823126010151400_s1_p0.1.bax.h5
m140309_102439	heart	m140309_102439_sherri_c100641502550000001823126010151400_s1_p0.2.bax.h5
m140309_102439	heart	m140309_102439_sherri_c100641502550000001823126010151400_s1_p0.3.bax.h5
m140309_135823	heart	m140309_135823_sherri_c100641502550000001823126010151401_s1_p0.1.bax.h5
m140309_135823	heart	m140309_135823_sherri_c100641502550000001823126010151401_s1_p0.2.bax.h5
m140309_135823	heart	m140309_135823_sherri_c100641502550000001823126010151401_s1_p0.3.bax.h5
m140309_173351	heart	m140309_173351_sherri_c100641502550000001823126010151402_s1_p0.1.bax.h5
m140309_173351	heart	m140309_173351_sherri_c100641502550000001823126010151402_s1_p0.2.bax.h5
m140309_173351	heart	m140309_173351_sherri_c100641502550000001823126010151402_s1_p0.3.bax.h5
m140309_211055	heart	m140309_211055_sherri_c100641502550000001823126010151403_s1_p0.1.bax.h5
m140309_211055	heart	m140309_211055_sherri_c100641502550000001823126010151403_s1_p0.2.bax.h5
m140309_211055	heart	m140309_211055_sherri_c100641502550000001823126010151403_s1_p0.3.bax.h5
m140310_004313	heart	m140310_004313_sherri_c100641502550000001823126010151404_s1_p0.1.bax.h5
m140310_004313	heart	m140310_004313_sherri_c100641502550000001823126010151404_s1_p0.2.bax.h5
m140310_004313	heart	m140310_004313_sherri_c100641502550000001823126010151404_s1_p0.3.bax.h5
m140310_041954	heart	m140310_041954_sherri_c100641502550000001823126010151405_s1_p0.1.bax.h5
m140310_041954	heart	m140310_041954_sherri_c100641502550000001823126010151405_s1_p0.2.bax.h5
m140310_041954	heart	m140310_041954_sherri_c100641502550000001823126010151405_s1_p0.3.bax.h5
m140310_080044	heart	m140310_080044_sherri_c100641502550000001823126010151406_s1_p0.1.bax.h5
